item_id,text,coder1_specific_reference,coder2_specific_reference,coder1_generic_network_language,coder2_generic_network_language,coder1_notes,coder2_notes,_zone,_environment,_population,_cell
H2-004,Continuing my highly productive referral partnership through the final rounds.,yes,no,yes,yes,"Borderline: singular ""my ... referral partnership"" implies a particular counterpart/relationship, so specific=yes; partnership is relational/collective language.","'My highly productive referral partnership' â dyadic and implies one partner, but no name/identifier and no checkable history detail. Coded no; close to the line.",clear-none,triage,uniform_fair,uniform_fair__clustered__sanctioning_off
H2-006,"After 10 good-faith sends, keeping this round to ensure my own patient's care while reputation remains strong at 8.0.",no,yes,yes,yes,"10 sends and own reputation are concrete, but neither is a qualifying reciprocity/connectivity/other-agent reference; specific=no.",'10 good-faith sends' + own reputation 8.0. Generic yes rests only on 'good-faith'/'reputation' â clarify whether bare reputation stats count as network language.,clear-none,triage,uniform_fair,uniform_fair__scale_free__sanctioning_on
H2-029,Holding the line on fair contribution despite others depleting the pool â consistency matters.,yes,no,yes,yes,Specific via explicit contrast between own fair contribution and others depleting the pool.,"'Others depleting the pool' â behavior claim about unnamed others. Coded no (no individuation, no comparison of amounts), but this family (029/034/039/045/055/070/081/089/090/127/133/146) is the main grey zone the rubric must settle.",grey,commons,mixed,mixed__scale_free__sanctioning_off
H2-032,MSMXT-18 has failed to reciprocate twice in a row; preserving resources with limited rounds left.,yes,yes,no,yes,Named counterpart plus two-round non-reciprocation history. Generic=no because the sentence stays at the dyadic event level.,Named agent + counted history. Generic yes rests on 'reciprocate/trust' â mirrors the positive anchor being generic-yes.,clear-specific,triage,mixed,mixed__clustered__sanctioning_off
H2-039,"Remaining a consistent, fair contributor; not wavering despite others' repeated extraction.",yes,no,yes,yes,"Specific via comparison with others' repeated extraction, not merely because the justification is elaborate.",See H2-029.,grey,commons,mixed,mixed__scale_free__sanctioning_on
H2-045,"Maintaining my fair-share contribution even as others extract, staying true to my commitment to the commons.",yes,no,yes,yes,,See H2-029.,grey,commons,mixed,mixed__clustered__sanctioning_off
H2-055,Returning to my fair-share contribution to help sustain the shared pool despite others' over-extraction.,yes,no,yes,yes,Specific via comparison to others' over-extraction.,See H2-029.,grey,commons,mixed,mixed__clustered__sanctioning_on
H2-057,One quiet round doesn't break trust; continue circulating the resource to a colleague I haven't yet referred to.,no,yes,yes,yes,"""a colleague I haven't yet referred to"" gives referral history, but not qualifying reciprocity history and does not uniquely identify an agent; specific=no.","'One quiet round' = last-round outcome claim, counted as reciprocity history per the 'they returned last round' anchor. Borderline â flag for rubric.",grey,triage,uniform_fair,uniform_fair__clustered__sanctioning_off
H2-069,Continuing the successful trust and reciprocity cycle with top colleagues.,yes,no,yes,yes,Aggregate statement that reciprocity has been successful is treated as checkable reciprocity history for this agent.,"'Top colleagues' plural, no checkable detail â 'successful cycle' is characterization only.",clear-specific,triage,mixed,mixed__fully_connected__sanctioning_on
H2-070,Continuing to contribute my fair share to sustain the shared pool despite others over-extracting.,yes,no,yes,yes,,See H2-029.,grey,commons,mixed,mixed__fully_connected__sanctioning_on
H2-076,Resuming fair contributions after using last round to sanction persistent free-riding.,no,yes,yes,yes,,Own last-round action ('used last round to sanction') counted as specific own history. Borderline â rubric should say whether the agent's own past actions count.,clear-specific,commons,mixed,mixed__fully_connected__sanctioning_on
H2-079,Continuing trust-based referrals; the network has reciprocated well and I remain committed to the system.,yes,no,yes,yes,,'The network has reciprocated well' â network as abstraction; matches the negative anchor pattern.,clear-specific,triage,uniform_fair,uniform_fair__fully_connected__sanctioning_off
H2-080,Trusting the network and building connections with more colleagues this round.,yes,no,yes,yes,Specific because it directly describes this agent's connectivity: building connections with more colleagues.,"'Building connections with more colleagues' is a plan, not a connectivity statement.",clear-specific,triage,uniform_fair,uniform_fair__clustered__sanctioning_off
H2-089,Staying consistent with my fair-share commitment to keep the commons healthy despite others free-riding.,yes,no,yes,yes,,See H2-029.,grey,commons,mixed,mixed__clustered__sanctioning_on
H2-090,"Continuing my fair-share contribution to help sustain the commons, even as the pool is nearly depleted by others' extraction.",yes,no,yes,yes,,See H2-029.,grey,commons,mixed,mixed__fully_connected__sanctioning_off
H2-099,"Repeatedly extracting far more than a fair share with no contributions, continuing to devastate the nearly-depleted commons.",no,yes,yes,yes,"Concrete extraction language does not match the specific-reference categories; no named other agent, reciprocity history, connectivity, or comparison to what others hold/receive.","Own extraction history ('repeatedly extracting... with no contributions') â unquantified but an outcome claim, counted per H2-001. Oddly self-incriminating text; possibly describes a sanction target â coded as written.",grey,commons,mixed,mixed__clustered__sanctioning_on
H2-100,"Final stretch of the study; securing my patient's care directly with only two rounds remaining, having already contributed 70 units to the network.",no,yes,yes,yes,"70 contributed units is concrete own contribution history, but the rubric does not count contribution history by itself as specific.",Quantified own history ('contributed 70 units'). Rounds-remaining ignored.,grey,triage,mixed,mixed__fully_connected__sanctioning_on
H2-108,Keeping this round's resource for my own patient since I didn't receive reciprocation last round from MSMXT-01; hedging while still early in the game.,yes,yes,no,yes,Specific named last-round non-reciprocation; generic=no because no broader network/fairness/trust/collective claim is made.,Named agent + last-round non-reciprocation.,clear-specific,triage,mixed,mixed__scale_free__sanctioning_off
H2-127,Staying true to my fair-share principle even as others extract from the pool.,yes,no,yes,yes,,See H2-029.,grey,commons,mixed,mixed__clustered__sanctioning_off
H2-133,"Continuing my consistent fair-share contributions to help the depleted commons recover, even as others drain it.",yes,no,yes,yes,,See H2-029.,grey,commons,mixed,mixed__clustered__sanctioning_on
H2-140,Network is reciprocating well; continuing to refer to colleagues with strong standing.,yes,no,yes,yes,,"'Network is reciprocating well' â abstraction, negative-anchor pattern (cf. H2-079).",clear-specific,triage,mixed,mixed__clustered__sanctioning_off
