item_id,text,specific_reference,generic_network_language,notes,_zone,_environment,_population,_cell
H2-001,I've referred consistently with little reciprocity â keeping this round ensures my own patient's care while I reassess the network balance.,yes,yes,,clear-specific,triage,uniform_fair,uniform_fair__fully_connected__sanctioning_off
H2-002,Taking the final remaining pool points on the last round to maximize my total.,no,no,,clear-specific,commons,mixed,mixed__fully_connected__sanctioning_on
H2-003,Continuing to contribute to the network in good faith; maintaining reputation and trust through referral.,no,yes,,grey,triage,uniform_fair,uniform_fair__fully_connected__sanctioning_on
H2-004,Continuing my highly productive referral partnership through the final rounds.,yes,yes,"Borderline: singular ""my ... referral partnership"" implies a particular counterpart/relationship, so specific=yes; partnership is relational/collective language.",clear-none,triage,uniform_fair,uniform_fair__clustered__sanctioning_off
H2-005,"Final round â continuing my consistent trust-based approach, referring to MSMXT-04, the most reputable partner, in the spirit of network-wide cooperation.",yes,yes,,grey,triage,mixed,mixed__clustered__sanctioning_on
H2-006,"After 10 good-faith sends, keeping this round to ensure my own patient's care while reputation remains strong at 8.0.",no,yes,"10 sends and own reputation are concrete, but neither is a qualifying reciprocity/connectivity/other-agent reference; specific=no.",clear-none,triage,uniform_fair,uniform_fair__scale_free__sanctioning_on
H2-007,Continuing to maximize my own take from the pool while it remains viable.,no,no,,clear-none,commons,mixed,mixed__clustered__sanctioning_on
H2-008,Continuing to contribute my fair share of 10 points to keep the commons healthy for the whole group.,no,yes,,grey,commons,uniform_fair,uniform_fair__clustered__sanctioning_off
H2-009,"Pool is still viable, continuing to take what I can for my own benefit.",no,no,,clear-none,commons,mixed,mixed__clustered__sanctioning_on
H2-010,Continuing to trust my most consistent and highest-returning partner in the network.,yes,yes,"Specific because ""my most consistent and highest-returning partner"" identifies a particular counterpart through comparative return history.",grey,triage,uniform_fair,uniform_fair__scale_free__sanctioning_on
H2-011,Maintaining my fair-share contribution through the final rounds.,no,yes,,grey,commons,mixed,mixed__clustered__sanctioning_off
H2-012,Referrals continue to multiply value; keeping the cooperative cycle going with well-trusted colleagues.,no,yes,,grey,triage,uniform_fair,uniform_fair__clustered__sanctioning_off
H2-013,Continuing to build the referral network â sending to another well-reputed colleague to spread trust across the network.,no,yes,,grey,triage,uniform_fair,uniform_fair__clustered__sanctioning_off
H2-014,Staying consistent with my fair-share contribution to the shared pool that supports the whole group.,no,yes,,grey,commons,uniform_fair,uniform_fair__fully_connected__sanctioning_off
H2-015,Final fair-share contribution â remaining consistent with my commitment through the last round.,no,yes,,clear-specific,commons,uniform_fair,uniform_fair__clustered__sanctioning_on
H2-016,Continuing to do my part to keep the shared pool growing for the benefit of all.,no,yes,,clear-none,commons,uniform_fair,uniform_fair__clustered__sanctioning_off
H2-017,"Round 6: The pool has nearly collapsed, but I remain committed to contributing my fair share to help rebuild the shared commons rather than abandoning it.",no,yes,,grey,commons,mixed,mixed__scale_free__sanctioning_on
H2-018,Continuing to build a cooperative referral network by sending in good faith to another colleague.,no,yes,,grey,triage,uniform_fair,uniform_fair__fully_connected__sanctioning_off
H2-019,"Round 4: continuing to refer to build the cooperative network â sending to a new colleague with strong reputation, trusting the network to be fair overall.",no,yes,,grey,triage,uniform_fair,uniform_fair__fully_connected__sanctioning_on
H2-020,Continuing my fair-share contribution even as the pool nears depletion; I remain consistent in my commitment.,no,yes,,grey,commons,mixed,mixed__clustered__sanctioning_off
